now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
16126,22.36,56.37,22.80,102660,3.405,6.214,0.702,-0.127,-0.238,0.949,40.58,405.00,-382.00,-351.00,3085.0000
16202,22.38,56.34,22.80,102660,2.008,7.916,15.282,-0.230,-0.249,0.987,40.39,393.00,-370.00,-346.00,3087.0000
16276,22.37,56.34,22.80,102663,9.382,2.763,13.176,-0.199,-0.234,0.975,40.67,378.00,-360.00,-348.00,3086.0000
16350,22.38,56.35,22.80,102663,20.015,3.573,15.107,-0.279,-0.190,0.980,40.53,355.00,-360.00,-338.00,3088.0000
16429,22.37,56.38,22.80,102663,20.969,-16.985,9.427,-0.295,-0.141,0.996,40.34,337.00,-348.00,-341.00,3085.0000
16503,22.37,56.36,22.80,102663,7.046,-22.260,27.534,-0.233,-0.141,0.964,40.58,292.00,-310.00,-378.00,3087.0000
16577,22.39,56.39,22.80,102664,15.351,-33.382,32.183,-0.234,-0.043,0.979,40.25,240.00,-251.00,-403.00,3088.0000
16651,22.39,56.41,22.80,102664,19.267,-35.908,80.458,-0.037,0.053,1.080,40.67,162.00,-193.00,-418.00,3087.0000
16725,22.38,56.44,22.80,102659,-29.351,-12.603,135.298,-0.118,-0.162,1.049,40.53,133.00,-130.00,-428.00,3083.0000
16804,22.39,56.44,22.80,102659,-12.405,-5.489,131.344,-0.042,-0.123,0.902,40.44,60.00,-57.00,-426.00,3086.0000
16878,22.38,56.47,22.80,102662,-35.366,4.740,127.908,-0.161,-0.060,0.924,40.53,52.00,-1.00,-436.00,3085.0000
